lat,lng,size,color,caption,description
40.7128,-74.006,15,"rgb(255,0,0)",New York City,Major financial centre & most-populous US city
51.5074,-0.1278,12,"rgb(0,255,0)",London,Capital of the United Kingdom
35.6762,139.6503,18,"rgb(0,0,255)",Tokyo,Capital of Japan
-33.8688,151.2093,10,"rgb(255,165,0)",Sydney,Largest city in Australia
1.3521,103.8198,14,"rgb(255,0,255)",Singapore,City-state & trading hub
55.7558,37.6176,16,"rgb(0,255,255)",Moscow,Capital of Russia
-22.9068,-43.1729,11,"rgb(255,255,0)",Rio de Janeiro,Famous for beaches & carnival
30.0444,31.2357,13,"rgb(128,0,128)",Cairo,Largest city in the Arab world
19.4326,-99.1332,12,"rgb(255,192,203)",Mexico City,Capital of Mexico
28.7041,77.1025,17,"rgb(165,42,42)",New Delhi,Capital of India
